Source,Target,Weight
16,1,0.01383
16,2,0.00739
16,3,0.09362
16,4,0.05862
16,5,0.01351
16,6,0.04413
16,7,0.02317
16,8,0.04266
16,9,0.01322
16,10,0.06327
16,11,0.03753
16,12,0.09595
16,13,0.02169
16,14,0.02226
16,15,0.15608
16,17,0.11681
16,18,0.04247
16,19,0.02133
16,20,0.01365
16,21,0.00347
16,22,0.01487
16,23,0.09979
16,24,0.02039
16,25,0.02238
16,26,0.00212
16,27,0.06686
16,28,0.02969
16,29,0.00962
16,30,0.00375
16,31,0.01859
17,1,0.02399
17,2,0.01305
17,3,0.10364
17,4,0.05405
17,5,0.03021
17,6,0.07081
17,7,0.03706
17,8,0.04766
17,9,0.03951
17,10,0.14898
17,11,0.13526
17,12,0.15707
17,13,0.08051
17,14,0.14663
17,15,0.12373
17,16,0.69577
17,18,0.38024
17,19,0.09912
17,20,0.06589
17,21,0.01862
17,22,0.23228
17,23,0.36442
17,24,0.06782
17,25,0.04722
17,26,0.00241
17,27,0.10809
17,28,0.04104
17,29,0.01192
17,30,0.00683
17,31,0.03195
18,1,0.01056
18,2,0.00628
18,3,0.037
18,4,0.01785
18,5,0.01007
18,6,0.02488
18,7,0.01612
18,8,0.01758
18,9,0.01109
18,10,0.04135
18,11,0.06161
18,12,0.04932
18,13,0.05165
18,14,0.11608
18,15,0.0402
18,16,0.0859
18,17,0.25772
18,19,0.15356
18,20,0.08995
18,21,0.01499
18,22,0.03586
18,23,0.117
18,24,0.11329
18,25,0.04886
18,26,0.00208
18,27,0.02624
18,28,0.01447
18,29,0.00525
18,30,0.003
18,31,0.01463
19,1,0.02571
19,2,0.01638
19,3,0.1183
19,4,0.0778
19,5,0.03939
19,6,0.10585
19,7,0.11271
19,8,0.15371
19,9,0.03013
19,10,0.17168
19,11,0.1839
19,12,0.48878
19,13,0.47767
19,14,2.0001
19,15,0.20406
19,16,1.83995
19,17,2.53478
19,18,4.94095
19,20,3.70807
19,21,0.22441
19,22,0.9046
19,23,2.68757
19,24,0.93712
19,25,0.32307
19,26,0.00451
19,27,0.48417
19,28,0.15071
19,29,0.01917
19,30,0.0143
19,31,0.04349
20,1,0.00954
20,2,0.00371
20,3,0.04442
20,4,0.01859
20,5,0.01215
20,6,0.03312
20,7,0.02854
20,8,0.0419
20,9,0.0144
20,10,0.04972
20,11,0.08192
20,12,0.06602
20,13,0.09297
20,14,0.10141
20,15,0.04928
20,16,0.10386
20,17,0.13132
20,18,0.56453
20,19,0.33916
20,21,0.048
20,22,0.04328
